Date,City,Type,Count
5/10/2019,Lahore,PM 2.5,231
5/11/2019,Lahore,PM 2.5,171
5/12/2019,Lahore,PM 2.5,209
5/13/2019,Lahore,PM 2.5,188
5/14/2019,Lahore,PM 2.5,194
5/15/2019,Lahore,PM 2.5,145
5/16/2019,Lahore,PM 2.5,182
5/17/2019,Lahore,PM 2.5,173
5/18/2019,Lahore,PM 2.5,177
5/19/2019,Lahore,PM 2.5,156
5/20/2019,Lahore,PM 2.5,184
5/21/2019,Lahore,PM 2.5,167
5/22/2019,Lahore,PM 2.5,171
5/23/2019,Lahore,PM 2.5,231
5/24/2019,Lahore,PM 2.5,139
5/25/2019,Lahore,PM 2.5,141
5/26/2019,Lahore,PM 2.5,129
5/27/2019,Lahore,PM 2.5,157
5/28/2019,Lahore,PM 2.5,161
5/29/2019,Lahore,PM 2.5,179
5/30/2019,Lahore,PM 2.5,198
5/31/2019,Lahore,PM 2.5,249
6/1/2019,Lahore,PM 2.5,185
6/2/2019,Lahore,PM 2.5,222
6/3/2019,Lahore,PM 2.5,170
6/4/2019,Lahore,PM 2.5,223
6/5/2019,Lahore,PM 2.5,153
6/6/2019,Lahore,PM 2.5,157
6/7/2019,Lahore,PM 2.5,129
6/8/2019,Lahore,PM 2.5,149
6/9/2019,Lahore,PM 2.5,156
6/10/2019,Lahore,PM 2.5,160
6/11/2019,Lahore,PM 2.5,168
6/12/2019,Lahore,PM 2.5,171
6/13/2019,Lahore,PM 2.5,160
6/14/2019,Lahore,PM 2.5,142
6/15/2019,Lahore,PM 2.5,156
6/16/2019,Lahore,PM 2.5,188
6/17/2019,Lahore,PM 2.5,154
6/18/2019,Lahore,PM 2.5,153
6/19/2019,Lahore,PM 2.5,128
6/20/2019,Lahore,PM 2.5,169
6/21/2019,Lahore,PM 2.5,153
6/22/2019,Lahore,PM 2.5,188
6/23/2019,Lahore,PM 2.5,159
6/24/2019,Lahore,PM 2.5,160
6/25/2019,Lahore,PM 2.5,163
6/26/2019,Lahore,PM 2.5,176
6/27/2019,Lahore,PM 2.5,166
6/28/2019,Lahore,PM 2.5,135
6/29/2019,Lahore,PM 2.5,186
6/30/2019,Lahore,PM 2.5,151
7/1/2019,Lahore,PM 2.5,149
7/2/2019,Lahore,PM 2.5,152
7/3/2019,Lahore,PM 2.5,156
7/4/2019,Lahore,PM 2.5,158
7/5/2019,Lahore,PM 2.5,154
7/6/2019,Lahore,PM 2.5,124
7/7/2019,Lahore,PM 2.5,141
7/8/2019,Lahore,PM 2.5,149
7/9/2019,Lahore,PM 2.5,155
7/10/2019,Lahore,PM 2.5,127
7/11/2019,Lahore,PM 2.5,153
7/12/2019,Lahore,PM 2.5,139
7/13/2019,Lahore,PM 2.5,171
7/14/2019,Lahore,PM 2.5,139
7/15/2019,Lahore,PM 2.5,89
7/16/2019,Lahore,PM 2.5,137
7/17/2019,Lahore,PM 2.5,119
7/18/2019,Lahore,PM 2.5,103
7/19/2019,Lahore,PM 2.5,119
7/20/2019,Lahore,PM 2.5,133
7/21/2019,Lahore,PM 2.5,136
7/22/2019,Lahore,PM 2.5,135
7/23/2019,Lahore,PM 2.5,156
7/24/2019,Lahore,PM 2.5,164
7/25/2019,Lahore,PM 2.5,156
7/26/2019,Lahore,PM 2.5,105
7/27/2019,Lahore,PM 2.5,103
7/28/2019,Lahore,PM 2.5,108
7/29/2019,Lahore,PM 2.5,123
7/30/2019,Lahore,PM 2.5,123
7/31/2019,Lahore,PM 2.5,125
8/1/2019,Lahore,PM 2.5,106
8/2/2019,Lahore,PM 2.5,116
8/3/2019,Lahore,PM 2.5,78
8/4/2019,Lahore,PM 2.5,101
8/5/2019,Lahore,PM 2.5,113
8/6/2019,Lahore,PM 2.5,105
8/7/2019,Lahore,PM 2.5,141
8/8/2019,Lahore,PM 2.5,114
8/9/2019,Lahore,PM 2.5,164
8/10/2019,Lahore,PM 2.5,154
8/11/2019,Lahore,PM 2.5,143
8/12/2019,Lahore,PM 2.5,104
8/13/2019,Lahore,PM 2.5,112
8/14/2019,Lahore,PM 2.5,104
8/15/2019,Lahore,PM 2.5,123
8/16/2019,Lahore,PM 2.5,113
8/17/2019,Lahore,PM 2.5,98
8/18/2019,Lahore,PM 2.5,85
8/19/2019,Lahore,PM 2.5,119
8/20/2019,Lahore,PM 2.5,98
8/21/2019,Lahore,PM 2.5,133
8/22/2019,Lahore,PM 2.5,142
8/23/2019,Lahore,PM 2.5,129
8/24/2019,Lahore,PM 2.5,131
8/25/2019,Lahore,PM 2.5,157
8/26/2019,Lahore,PM 2.5,144
8/27/2019,Lahore,PM 2.5,115
8/28/2019,Lahore,PM 2.5,160
8/29/2019,Lahore,PM 2.5,198
8/30/2019,Lahore,PM 2.5,160
8/31/2019,Lahore,PM 2.5,143
9/1/2019,Lahore,PM 2.5,174
9/2/2019,Lahore,PM 2.5,146
9/3/2019,Lahore,PM 2.5,148
9/4/2019,Lahore,PM 2.5,166
9/5/2019,Lahore,PM 2.5,167
9/6/2019,Lahore,PM 2.5,101
9/7/2019,Lahore,PM 2.5,136
9/8/2019,Lahore,PM 2.5,133
9/9/2019,Lahore,PM 2.5,163
9/10/2019,Lahore,PM 2.5,155
9/11/2019,Lahore,PM 2.5,151
9/12/2019,Lahore,PM 2.5,155
9/13/2019,Lahore,PM 2.5,162
9/14/2019,Lahore,PM 2.5,157
9/15/2019,Lahore,PM 2.5,159
9/16/2019,Lahore,PM 2.5,158
9/17/2019,Lahore,PM 2.5,145
9/18/2019,Lahore,PM 2.5,136
9/19/2019,Lahore,PM 2.5,159
9/20/2019,Lahore,PM 2.5,133
9/21/2019,Lahore,PM 2.5,128
9/22/2019,Lahore,PM 2.5,183
9/23/2019,Lahore,PM 2.5,155
9/24/2019,Lahore,PM 2.5,130
9/25/2019,Lahore,PM 2.5,133
9/26/2019,Lahore,PM 2.5,150
9/27/2019,Lahore,PM 2.5,161
9/28/2019,Lahore,PM 2.5,156
9/29/2019,Lahore,PM 2.5,116
9/30/2019,Lahore,PM 2.5,93
10/1/2019,Lahore,PM 2.5,183
10/2/2019,Lahore,PM 2.5,142
10/3/2019,Lahore,PM 2.5,162
10/4/2019,Lahore,PM 2.5,163
10/5/2019,Lahore,PM 2.5,185
10/6/2019,Lahore,PM 2.5,-
10/7/2019,Lahore,PM 2.5,-
10/8/2019,Lahore,PM 2.5,144
10/9/2019,Lahore,PM 2.5,155
10/10/2019,Lahore,PM 2.5,185
10/11/2019,Lahore,PM 2.5,184
10/12/2019,Lahore,PM 2.5,224
10/13/2019,Lahore,PM 2.5,192
10/14/2019,Lahore,PM 2.5,200
